OID_,ADDRESS,NUMBER_OF_PAYPHONES,BUROUGH,BUROUGH_ID,OPERATOR,COMMUNITY_BOARD,POINT,LATITUDE,LONGITUDE,LOCATION,ADVERTISING,WI_FI
3426,1298 BROADWAY,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.987978 40.74938211),40.749382110000000,-73.987978000000000,CURBSIDE,TRUE,FALSE
3427,61 HESTER STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.99037932 40.71575086),40.715750860000000,-73.990379320000000,CURBSIDE,TRUE,FALSE
3428,129 EAST 29 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,6,POINT (-73.98176479 40.74316993),40.743169930000000,-73.981764790000000,CURBSIDE,TRUE,FALSE
3429,829 10 AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.98958481 40.7677254),40.767725400000000,-73.989584810000000,CURBSIDE,TRUE,FALSE
3430,303 WEST 39 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,4,POINT (-73.99164049 40.75553342),40.755533420000000,-73.991640490000000,CURBSIDE,TRUE,FALSE
3431,1327 YORK AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.95436203 40.76602607),40.766026070000000,-73.954362030000000,CURBSIDE,TRUE,FALSE
3432,250 CHURCH STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00564922 40.71786459),40.717864590000000,-74.005649220000000,CURBSIDE,TRUE,FALSE
3433,650 MADISON AVENUE,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,8,POINT (-73.97103397 40.76412662),40.764126620000000,-73.971033970000000,CURBSIDE,TRUE,FALSE
3434,20 EAST 42 STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,5,POINT (-73.98017395 40.75316879),40.753168790000000,-73.980173950000000,CURBSIDE,TRUE,FALSE
3435,74 WALL STREET,1,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00813685 40.70565849),40.705658490000000,-74.008136850000000,CURBSIDE,TRUE,FALSE
3436,139 FULTON STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,1,POINT (-74.00805086 40.71038498),40.710384980000000,-74.008050860000000,CURBSIDE,TRUE,FALSE
3437,52 BAYARD STREET,2,MANHATTAN,4,TITAN OUTDOOR COMMUNICATIONS,3,POINT (-73.99748573 40.71528463),40.715284630000000,-73.997485730000000,CURBSIDE,TRUE,FALSE
